valid_local_time,temp_c,forecast_source,issued_at_utc,lead_hours
2026-09-09T08:00:00,13.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,0.93
2026-09-09T09:00:00,13.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,1.93
2026-09-09T10:00:00,14.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,2.93
2026-09-09T11:00:00,16.60,api.open-meteo.com,2026-09-09T05:03:34.368764Z,3.93
2026-09-09T12:00:00,18.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,4.93
2026-09-09T13:00:00,19.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,5.93
2026-09-09T14:00:00,20.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,6.93
2026-09-09T15:00:00,20.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,7.93
2026-09-09T16:00:00,20.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,8.93
2026-09-09T17:00:00,21.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,9.93
2026-09-09T18:00:00,20.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,10.93
2026-09-09T19:00:00,19.60,api.open-meteo.com,2026-09-09T05:03:34.368764Z,11.93
2026-09-09T20:00:00,18.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,12.93
2026-09-09T21:00:00,16.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,13.93
2026-09-09T22:00:00,15.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,14.93
2026-09-09T23:00:00,14.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,15.93
2026-09-10T00:00:00,13.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,16.93
2026-09-10T01:00:00,12.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,17.93
2026-09-10T02:00:00,11.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,18.93
2026-09-10T03:00:00,10.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,19.93
2026-09-10T04:00:00,10.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,20.93
2026-09-10T05:00:00,9.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,21.93
2026-09-10T06:00:00,9.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,22.93
2026-09-10T07:00:00,8.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,23.93
2026-09-10T08:00:00,8.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,24.93
2026-09-10T09:00:00,10.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,25.93
2026-09-10T10:00:00,13.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,26.93
2026-09-10T11:00:00,16.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,27.93
2026-09-10T12:00:00,17.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,28.93
2026-09-10T13:00:00,19.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,29.93
2026-09-10T14:00:00,20.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,30.93
2026-09-10T15:00:00,20.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,31.93
2026-09-10T16:00:00,21.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,32.93
2026-09-10T17:00:00,21.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,33.93
2026-09-10T18:00:00,21.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,34.93
2026-09-10T19:00:00,20.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,35.93
2026-09-10T20:00:00,19.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,36.93
2026-09-10T21:00:00,19.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,37.93
2026-09-10T22:00:00,17.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,38.93
2026-09-10T23:00:00,16.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,39.93
2026-09-11T00:00:00,15.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,40.93
2026-09-11T01:00:00,15.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,41.93
2026-09-11T02:00:00,15.90,api.open-meteo.com,2026-09-09T05:03:34.368764Z,42.93
2026-09-11T03:00:00,16.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,43.93
2026-09-11T04:00:00,16.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,44.93
2026-09-11T05:00:00,15.60,api.open-meteo.com,2026-09-09T05:03:34.368764Z,45.93
2026-09-11T06:00:00,15.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,46.93
2026-09-11T07:00:00,15.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,47.93
2026-09-11T08:00:00,15.0,api.open-meteo.com,2026-09-09T05:03:34.368764Z,48.93
2026-09-11T09:00:00,15.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,49.93
2026-09-11T10:00:00,16.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,50.93
2026-09-11T11:00:00,18.20,api.open-meteo.com,2026-09-09T05:03:34.368764Z,51.93
2026-09-11T12:00:00,19.60,api.open-meteo.com,2026-09-09T05:03:34.368764Z,52.93
2026-09-11T13:00:00,20.60,api.open-meteo.com,2026-09-09T05:03:34.368764Z,53.93
2026-09-11T14:00:00,21.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,54.93
2026-09-11T15:00:00,20.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,55.93
2026-09-11T16:00:00,21.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,56.93
2026-09-11T17:00:00,21.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,57.93
2026-09-11T18:00:00,21.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,58.93
2026-09-11T19:00:00,21.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,59.93
2026-09-11T20:00:00,20.50,api.open-meteo.com,2026-09-09T05:03:34.368764Z,60.93
2026-09-11T21:00:00,19.30,api.open-meteo.com,2026-09-09T05:03:34.368764Z,61.93
2026-09-11T22:00:00,18.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,62.93
2026-09-11T23:00:00,17.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,63.93
2026-09-12T00:00:00,16.50,api.open-meteo.com,2026-09-09T05:03:34.368764Z,64.93
2026-09-12T01:00:00,15.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,65.93
2026-09-12T02:00:00,15.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,66.93
2026-09-12T03:00:00,14.50,api.open-meteo.com,2026-09-09T05:03:34.368764Z,67.93
2026-09-12T04:00:00,13.80,api.open-meteo.com,2026-09-09T05:03:34.368764Z,68.93
2026-09-12T05:00:00,13.10,api.open-meteo.com,2026-09-09T05:03:34.368764Z,69.93
2026-09-12T06:00:00,12.70,api.open-meteo.com,2026-09-09T05:03:34.368764Z,70.93
2026-09-12T07:00:00,12.40,api.open-meteo.com,2026-09-09T05:03:34.368764Z,71.93
